test_type	event_rate_multiplier	proportion_multiplier	nns	nnr	bias
High Sens/High Spec	1.6	1.5	18189	6732	0.054582942750895674
High Sens/High Spec	1.6	1.6	16878	6247	0.0521118631559859
High Sens/High Spec	1.6	1.7000000000000002	15777	5840	0.04996356218651615
High Sens/High Spec	1.6	1.8	14843	5494	0.048090218546794544
High Sens/High Spec	1.6	1.9	14042	5197	0.04645355761394654
High Sens/High Spec	1.6	2	13350	4941	0.04502262240996069
High Sens/High Spec	1.7000000000000002	1	29495	10916	0.07394547467979118
High Sens/High Spec	1.7000000000000002	1.1	25690	9508	0.0685924041357959
High Sens/High Spec	1.7000000000000002	1.2	22804	8440	0.06410794940682057
High Sens/High Spec	1.7000000000000002	1.3	20550	7606	0.0603128091419014
High Sens/High Spec	1.7000000000000002	1.4	18747	6938	0.05707468066013674
High Sens/High Spec	1.7000000000000002	1.5	17277	6394	0.05429386192541444
High Sens/High Spec	1.7000000000000002	1.6	16059	5944	0.05189384661459462
High Sens/High Spec	1.7000000000000002	1.7000000000000002	15038	5566	0.04981500269747122
High Sens/High Spec	1.7000000000000002	1.8	14173	5246	0.04801021651628076
High Sens/High Spec	1.7000000000000002	1.9	13432	4972	0.046441824929129766
High Sens/High Spec	1.7000000000000002	2	12794	4735	0.045079412493679305
High Sens/High Spec	1.8	1	27847	10307	0.07325163889830813
High Sens/High Spec	1.8	1.1	24309	8997	0.06799485341068814
High Sens/High Spec	1.8	1.2	21622	8003	0.06359850891332744
High Sens/High Spec	1.8	1.3	19522	7225	0.0598854282382526
High Sens/High Spec	1.8	1.4	17842	6604	0.056724932203317924
High Sens/High Spec	1.8	1.5	16473	6097	0.05401859523761027
High Sens/High Spec	1.8	1.6	15340	5678	0.05169094254975645
High Sens/High Spec	1.8	1.7000000000000002	14390	5326	0.049683198589955097
High Sens/High Spec	1.8	1.8	13587	5029	0.04794898029452618
High Sens/High Spec	1.8	1.9	12901	4775	0.046451264749351906
High Sens/High Spec	1.8	2	12311	4557	0.04516021272815643
High Sens/High Spec	1.9	1	26380	9764	0.07256952357621438
High Sens/High Spec	1.9	1.1	23079	8542	0.06740877126179812
High Sens/High Spec	1.9	1.2	20570	7613	0.06310062263825075
High Sens/High Spec	1.9	1.3	18608	6887	0.05947001380233774
High Sens/High Spec	1.9	1.4	17039	6306	0.05638788864174063
High Sens/High Spec	1.9	1.5	15760	5833	0.05375710621638963
High Sens/High Spec	1.9	1.6	14704	5442	0.05150323892250022
High Sens/High Spec	1.9	1.7000000000000002	13819	5115	0.0495683902674412
High Sens/High Spec	1.9	1.8	13072	4838	0.04790693709530752
High Sens/High Spec	1.9	1.9	12436	4603	0.046482532883892036
High Sens/High Spec	1.9	2	11891	4401	0.045265957999651246
High Sens/High Spec	2	1	25065	9277	0.07189873753636511
High Sens/High Spec	2	1.1	21977	8134	0.06683382078251787
High Sens/High Spec	2	1.2	19628	7265	0.06261401496850627
High Sens/High Spec	2	1.3	17791	6585	0.0590663623598901
High Sens/High Spec	2	1.4	16322	6041	0.05606343366349148
High Sens/High Spec	2	1.5	15126	5599	0.053509385439387325
High Sens/High Spec	2	1.6	14139	5233	0.05133085832877993
High Sens/High Spec	2	1.7000000000000002	13314	4928	0.049470863759404765
High Sens/High Spec	2	1.8	12619	4671	0.04788457517939304
High Sens/High Spec	2	1.9	12029	4452	0.046536367346837026
High Sens/High Spec	2	2	11526	4266	0.04539769395402718
High Sens/Low Spec	1	1	180902	96093	0.30179509426456547
High Sens/Low Spec	1	1.1	286957	152428	0.2868801239559436
High Sens/Low Spec	1	1.2	500718	265974	0.2735437835770372
High Sens/Low Spec	1	1.3	1025981	544987	0.2615598944327454
High Sens/Low Spec	1	1.4	2909462	1545464	0.2507439893122268
High Sens/Low Spec	1	1.5	23129068	12285828	0.24094408921578991
High Sens/Low Spec	1	1.6	44615878	23699311	0.23203383299756583
